construction;preposition;lemma;pos;meaning;Masini_freq;dataset_freq
segherie su segherie;su;segheria;pl;nominal;greater_plurality/accumulation;1;1
sentenze su sentenze;su;sentenza;pl;nominal;greater_plurality/accumulation;1;1
serate su serate;su;serata;pl;nominal;greater_plurality/accumulation;1;1
settimana a settimana;a;settimana;sg;modifier;succession/iteration/distributivity;2;2
settimane su settimane;su;settimana;pl;nominal;greater_plurality/accumulation;1;1
sfida a sfida;a;sfida;sg;modifier;succession/iteration/distributivity;1;0
sillaba su sillaba;su;sillaba;sg;modifier;succession/iteration/distributivity;1;1
simmetria su simmetria;su;simmetria;sg;modifier;succession/iteration/distributivity;1;1
sistemi su sistemi;su;sistema;pl;nominal;greater_plurality/accumulation;1;1
soldi su soldi;su;soldi;pl;nominal;greater_plurality/accumulation;5;5
soldino su soldino;su;soldino;sg;modifier;succession/iteration/distributivity;1;1
sorso a sorso;a;sorso;sg;modifier;juxtaposition/contact;0;1
sorso a sorso;a;sorso;sg;modifier;succession/iteration/distributivity;1;0
spalla a spalla;a;spalla;sg;modifier;juxtaposition/contact;51;51
spalle a spalle;a;spalla;pl;modifier;juxtaposition/contact;2;0
spalle a spalle;a;spalle;sg;modifier;juxtaposition/contact;0;2
spesa su spesa;su;spesa;sg;modifier;succession/iteration/distributivity;1;0
spiegazioni su spiegazioni;su;spiegazione;pl;nominal;greater_plurality/accumulation;1;1
spinta su spinta;su;spinta;sg;modifier;succession/iteration/distributivity;1;1
staggio su staggio;su;staggio;sg;modifier;succession/iteration/distributivity;1;1
stagione su stagione;su;stagione;sg;modifier;succession/iteration/distributivity;2;2
stagioni su stagioni;su;stagione;pl;nominal;greater_plurality/accumulation;1;1
stanze su stanze;su;stanza;pl;nominal;greater_plurality/accumulation;1;1
storie su storie;su;storia;pl;nominal;greater_plurality/accumulation;0;1
storie su storie;su;storia;sg;nominal;greater_plurality/accumulation;1;0
storielle su storielle;su;storiella;pl;nominal;greater_plurality/accumulation;1;1
strade su strade;su;strada;pl;nominal;greater_plurality/accumulation;0;1
strade su strade;su;strade;pl;nominal;greater_plurality/accumulation;1;0
stragi su stragi;su;strage;pl;nominal;greater_plurality/accumulation;1;1
strati su strati;su;strato;pl;nominal;greater_plurality/accumulation;3;3
strato su strato;su;strato;sg;modifier;succession/iteration/distributivity;7;7
strato su strato;su;strato;sg;nominal;idiosyncratic;1;1
stronzate su stronzate;su;stronzata;pl;nominal;greater_plurality/accumulation;1;1
successi su successi;su;successo;pl;nominal;greater_plurality/accumulation;1;1
superficie su superficie;su;superficie;sg;modifier;succession/iteration/distributivity;1;1
tappa su tappa;su;tappa;sg;modifier;succession/iteration/distributivity;0;1
tappa su tappa;su;tappa;sg;nominal;greater_plurality/accumulation;1;0
tasse su tasse;su;tassa;pl;nominal;greater_plurality/accumulation;1;1
teglie su teglie;su;teglia;pl;nominal;greater_plurality/accumulation;1;1
telefonate su telefonate;su;telefonata;pl;nominal;greater_plurality/accumulation;1;1
telegrammi su telegrammi;su;telegramma;pl;nominal;greater_plurality/accumulation;2;2
tempia a tempia;a;tempia;sg;modifier;juxtaposition/contact;1;1
tensione su tensione;su;tensione;sg;modifier;succession/iteration/distributivity;1;1
termine a termine;a;termine;sg;modifier;idiosyncratic;4;4
terre su terre;su;terra;pl;nominal;greater_plurality/accumulation;1;1
terreni su terreni;su;terreno;pl;nominal;greater_plurality/accumulation;1;1
terreno su terreno;su;terreno;sg;nominal;greater_plurality/accumulation;1;1
tessuto su tessuto;su;tessuto;sg;modifier;juxtaposition/contact;1;1
testa a testa;a;testa;sg;modifier;idiosyncratic;29;29
testa a testa;a;testa;sg;modifier;juxtaposition/contact;4;4
testa a testa;a;testa;sg;nominal;idiosyncratic;156;155
testa su testa;su;testa;sg;modifier;succession/iteration/distributivity;1;1
testimonianze su testimonianze;su;testimonianza;pl;nominal;greater_plurality/accumulation;1;1
titoli su titoli;su;titolo;pl;nominal;greater_plurality/accumulation;2;2
toni su toni;su;tono;pl;nominal;greater_plurality/accumulation;1;1
tono su tono;su;tono;sg;modifier;idiosyncratic;26;21
tono su tono;su;tono;sg;modifier;juxtaposition/contact;1;0
tono su tono;su;tono;sg;nominal;idiosyncratic;0;1
tornante su tornante;su;tornante;sg;modifier;succession/iteration/distributivity;1;1
tornanti su tornanti;su;tornante;pl;nominal;greater_plurality/accumulation;1;1
tragedia su tragedia;su;tragedia;sg;modifier;succession/iteration/distributivity;1;1
tronco su tronco;su;tronco;sg;modifier;succession/iteration/distributivity;1;1
turno a turno;a;turno;sg;modifier;unclear;1;0
udienze su udienze;su;udienza;pl;nominal;greater_plurality/accumulation;1;1
uscio a uscio;a;uscio;sg;modifier;juxtaposition/contact;2;2
utilitarie su utilitarie;su;utilitaria;pl;nominal;greater_plurality/accumulation;1;1
vasche su vasche;su;vasca;pl;nominal;greater_plurality/accumulation;2;2
veleni su veleni;su;veleno;pl;nominal;greater_plurality/accumulation;1;1
velo su velo;su;velo;sg;modifier;succession/iteration/distributivity;1;1
ventricolo su ventricolo;su;ventricolo;sg;modifier;succession/iteration/distributivity;1;1
verbali su verbali;su;verbale;pl;nominal;greater_plurality/accumulation;4;4
versioni su versioni;su;versione;pl;nominal;greater_plurality/accumulation;1;1
viaggi su viaggi;su;viaggio;pl;nominal;greater_plurality/accumulation;1;1
viaggio su viaggio;su;viaggio;sg;modifier;succession/iteration/distributivity;1;1
vigneti su vigneti;su;vigneto;pl;nominal;greater_plurality/accumulation;1;1
violenza su violenza;su;violenza;sg;modifier;succession/iteration/distributivity;1;1
visite su visite;su;visita;pl;nominal;greater_plurality/accumulation;1;1
viso a viso;a;viso;sg;modifier;juxtaposition/contact;0;2
vita su vita;su;vita;sg;modifier;juxtaposition/contact;1;1
vittime su vittime;su;vittima;pl;nominal;greater_plurality/accumulation;1;1
vittoria su vittoria;su;vittoria;sg;nominal;greater_plurality/accumulation;1;1
volta a volta;a;volta;sg;modifier;succession/iteration/distributivity;59;70
volumi su volumi;su;volume;pl;nominal;greater_plurality/accumulation;1;1
voti su voti;su;voto;pl;nominal;greater_plurality/accumulation;1;1
voto su voto;su;voto;sg;modifier;succession/iteration/distributivity;3;3
vuoto su vuoto;su;vuoto;sg;nominal;greater_plurality/accumulation;2;2
zero su zero;su;zero;sg;nominal;intensification;1;1
zolla a zolla;a;zolla;sg;modifier;succession/iteration/distributivity;1;1
